sentence,label,confidence,publication_date,url,title,source
"When Plinth threatened to sue for breach of contract, Inyatsi Construction (U) Limited dragged Plinth to the International Chamber of Commerce (ICC) to settle the Inyatsi Construction (U) Limited matter through arbitration.",contract_management_failure,0.6157453533938838,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"According to court documents, Inyatsi Construction Ltd attempted to avoid liability by arguing that the application was incompetent due to the execution of Plinth’s subcontract agreement with Inyatsi Construction (U) Ltd, not with Inyatsi Construction Ltd.",contract_management_failure,0.6152146219317055,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"The court disagreed, holding that a fixed-term contract ends when its term expires unless Parliament legislates otherwise.",contract_management_failure,0.6148033706212988,2025-09-03,https://observer.ug/news/how-ugandas-judiciary-balances-power-and-the-pursuit-of-fairness/,"How Uganda’s judiciary balances power, and the pursuit of fairness",The Observer
"All was well until October, 2023 when Inyatsi terminated the contract over disagreements on the direction of the project.",contract_management_failure,0.6141488783972928,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"But just when the arbitration was about to start, Inyatsi Construction (U) Limited pulled out, a move that prompted Plinth to seek court redress to halt any payments for Inyatsi Construction (U) Limited and Inyatsi Construction Limited.",contract_management_failure,0.6137421334638119,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"But Byandala, according to the Inspector General of Government, ordered for the continuation of the works by Chongqing International Construction Company, a firm subcontracted by Eutaw despite the termination by Unra.",contract_management_failure,0.6124701566744123,2017-10-16,https://observer.ug/news/byandala-6-others-to-answer-for-katosi-road-scam/,"Byandala, 6 others to answer for Katosi road scam",The Observer
He requested that those who were in the office at the time of the commencement of the project should be summoned by the committee to explain the anomalies in the contract.,contract_management_failure,0.6122905644680859,2022-02-21,https://observer.ug/news/works-minister-admits-blunders-in-entebbe-airport-expansion-contract-award/,Works minister admits blunders in Entebbe Airport expansion contract,The Observer
ERA investigates your complaint so that we have all the facts from you and the electricity company.,contract_management_failure,0.6119298754960908,2017-08-19,https://observer.ug/news/power-surge-how-to-secure-compensation-from-umeme/,Power surge: How to secure compensation from Umeme,The Observer
"After receiving his contract termination letter dated March 5, Obore on March 22, ran to the High court seeking an injunction restraining the parliamentary commission from implementing the clerk’s decision to terminate his employment until the matter is determined.",contract_management_failure,0.6112621073605463,2019-09-21,https://observer.ug/news/parliament-s-chris-obore-sent-on-forced-leave-ordered-not-to-return/,"Parliament’s Obore sent on forced leave, ordered not to return",The Observer
"After receiving his contract termination letter dated March 5, Obore on March 22, ran to the High court seeking an injunction restraining the parliamentary commission from implementing the clerk’s decision to terminate his employment until the matter is determined.",contract_management_failure,0.6112621073605463,2019-04-05,https://observer.ug/news/parliament-in-catch-22-over-obore-s-irregular-appointment/,How Obore was ‘irregularly’ recruited by parliament,The Observer
"According to UCAA, the arbitration tribunal was incompetent to entertain and make an arbitral award in the matter filed before it because of its improper and irregular composition contrary to the clear provisions of the construction works agreement.",contract_management_failure,0.6108378086096177,2024-01-30,https://observer.ug/news/high-court-quashes-shs-680m-award-in-entebbe-airport-case/,High court quashes Shs 680m award in Entebbe airport case,The Observer
"But Kasaija in a January 25, 2018 letter to RVR stated that it is clear “there is an absolute failure and refusal to perform or continue with performance of your explicit and critical contractual obligations.” He added that this amounts to a fundamental breach of the concession agreement.",contract_management_failure,0.6107457768206374,2018-02-09,https://observer.ug/news/rvr-fights-to-retain-railway-operations-in-uganda/,RVR fights to retain railway operations in Uganda,The Observer
"“This is also evidence of negligently performing the construction works which can be faulted on the defendants jointly and severally.” He adds that Mugambe had proved on a balance of probabilities that she had suffered heavy financial losses as a result of the respondent’s breach of contract, negligence, and deceit in the performance of this contract.",contract_management_failure,0.6099567038781722,2022-08-08,https://observer.ug/news/court-orders-contractor-to-compensate-justice-lydia-mugambe-with-shs-250m-over-shoddy-works/,Court orders contractor to compensate justice Mugambe with Shs 250m over shoddy works,The Observer
“Where are we on this contract?,contract_management_failure,0.6097460292737718,2017-03-22,https://observer.ug/business/uegcl-doubts-karuma-dam-will-operate-at-full-capacity/,UEGCL doubts Karuma dam will operate at full capacity,The Observer
"In fact, court documents show that it is Inyatsi Construction (U) Ltd that referred the dispute to arbitration before the ICC on April 26, 2024.",contract_management_failure,0.6085815316305961,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
He adds that the concern was brought to the attention of the contract firm managers before they left the area but did not get any support.,contract_management_failure,0.6083070123500474,2020-01-02,https://observer.ug/news/kalungu-teenagers-struggling-to-raise-children-sired-by-road-contractors/,Kalungu teenagers struggling to raise children sired by road contractors,The Observer
He added that the previous parliament had already recommended the termination of Umeme’s contract because they did not meet the concession terms and conditions.,contract_management_failure,0.6082918790281786,2022-01-18,https://observer.ug/news/mps-reject-govt-request-for-shs-256bn-to-buy-out-umeme/,MPs reject govt request for Shs 256bn to buy out Umeme,The Observer
Inyatsi preemptively moved the dispute to the International Chamber of Commerce (ICC) for arbitration before pulling out of the project entirely.,contract_management_failure,0.6080381272741529,2025-11-12,https://observer.ug/news/how-bungled-shs-86bn-project-caused-sacking-of-eswatini-consul-to-uganda/,How bungled Shs 86bn project caused sacking of Eswatini consul to Uganda,The Observer
"This culminated into UNRA terminating AECO’s contract on August 19, 2020.",contract_management_failure,0.6074916519527608,2021-11-03,https://observer.ug/news/museveni-sucked-into-unra-kuwait-firm-row/,"Museveni sucked into UNRA, Kuwait firm row",The Observer
"Further applying the law on privity of contract, the judge ruled that Inyatsi Construction Uganda Limited was, in fact, an agent of Inyatsi Construction Ltd.",contract_management_failure,0.6074643040576605,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"“There was a verbal agreement for a $4m payment to Plinth to settle the matter,” a person briefed on the discussions confirmed.",contract_management_failure,0.607356221495968,2025-11-12,https://observer.ug/news/how-bungled-shs-86bn-project-caused-sacking-of-eswatini-consul-to-uganda/,How bungled Shs 86bn project caused sacking of Eswatini consul to Uganda,The Observer
"The company will now instruct legal redress for any breach of contract,” further reads the document.",contract_management_failure,0.6071256358895899,2019-08-25,https://observer.ug/news/nrm-mike-mukula-fail-to-pay-namboole-stadium-shs-1-1bn/,"NRM, Mike Mukula fail to pay Namboole stadium Shs 1.1bn",The Observer
"To ensure that the arbitral tribunal has the necessary authority to resolve any and all disputes arising from or relating to their agreement, the parties must include an unequivocal agreement to arbitrate in writing, clearly outlining the scope of the arbitration and whether a particular part of the arising dispute must be heard by a court or an arbitral tribunal.",contract_management_failure,0.606541734023848,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
Section 93(3) of the Employment Act 2006 provides for jurisdiction to a labour officer to hear and to settle by reconciliation or mediation a complaint.,contract_management_failure,0.606540645313976,2019-08-19,https://observer.ug/news/labor-officer-halts-eviction-of-former-mak-director/,KCCA court halts eviction of former Makerere director,The Observer
"He reasoned that the constitution of a voluntary organisation is a contract, resulting in a contractual relationship between the association and its members.",contract_management_failure,0.605635441363393,2022-01-26,https://observer.ug/news/two-lose-bid-to-block-expulsion-from-kampala-club-over-theft-of-alcohol/,Two lose bid to block expulsion from Kampala Club over theft of alcohol,The Observer
"Notably, the incorporation of dispute resolution mechanisms such as arbitration, which provide a neutral and efficient forum for resolving any disputes that may arise, is especially critical.",contract_management_failure,0.6054546175640291,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
"This ruling dashes that as- sumption, affirming that contract law governs employment relationships.",contract_management_failure,0.6053160672954506,2025-09-03,https://observer.ug/news/how-ugandas-judiciary-balances-power-and-the-pursuit-of-fairness/,"How Uganda’s judiciary balances power, and the pursuit of fairness",The Observer
“Arbitration without probity is an exception to the doctrine of probity to contract in only arbitration matters.,contract_management_failure,0.6052557867775407,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"Ironically, the new contract had an ₹84bn surplus in spite of the fact Eutaw had already done 16.5% of the work.",contract_management_failure,0.6048450582838408,2024-09-04,https://observer.ug/news/eutaw-seeks-30-million-recounts-intrigue-that-led-to-katosi-scandal/,"Eutaw seeks $30 million, recounts intrigue that led to Katosi scandal",The Observer
"These include mediation, conciliation, negotiation, and arbitration, among others.",contract_management_failure,0.6048310532686858,2025-08-01,https://observer.ug/viewpoint/rethinking-justice-through-alternative-dispute-resolution/,Rethinking justice through Alternative Dispute Resolution,The Observer
"But because this contract is lump sum, CCCC has to bear all the increased cost”.",contract_management_failure,0.6043999045762941,2021-10-19,https://observer.ug/news/controversy-blights-masindi-buliisa-oil-road/,Controversy blights Masindi-Buliisa oil road,The Observer
The contract was supposed to expire in 2017.,contract_management_failure,0.6032267023590718,2016-12-28,https://observer.ug/business/parliament-blacklists-ferdsult-ltd-on-govt-electricity-contracts/,Parliament blacklists Ferdsult Ltd on govt electricity contracts,The Observer
ARBITRATION Investment agreements nowadays commonly incorporate arbitration as the preferred method of dispute resolution between government and investors.,contract_management_failure,0.6031432256529676,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
"In his decision, justice Ssekaana has ruled that whereas the position of the law and practice in arbitration is that a party is not allowed to contest an arbitration and raise a jurisdictional objection for the first time if the award is unfavourable, his court is mindful of the breach of the law that governs agreements involving public bodies like UCAA.",contract_management_failure,0.6024776694761899,2024-01-30,https://observer.ug/news/high-court-quashes-shs-680m-award-in-entebbe-airport-case/,High court quashes Shs 680m award in Entebbe airport case,The Observer
"“To my mind, an arbitration agreement was reached by the parties.",contract_management_failure,0.6023496237885078,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"He understands negotiation, arbitration and litigation.",contract_management_failure,0.6022160982557382,2025-09-10,https://observer.ug/viewpoint/does-kampala-need-an-engineer-or-lawyer-heres-my-perspective-as-a-contractor/,Does Kampala need an engineer or lawyer? Here’s my perspective as a contractor,The Observer
"“Whereas Eng Frank Kitumba lodged a labour complaint against Makerere University of alleged infringement of Employment Act and in breach of contract KCCA/KWP/LC/098/2019 and the same was brought to your notice requiring you to respond to the complaint by August 21, 2019; no response has been received by this office nor has any hearing commenced in the matter,” Kulabako says in her order to the university secretary.",contract_management_failure,0.6020019664987262,2019-08-19,https://observer.ug/news/labor-officer-halts-eviction-of-former-mak-director/,KCCA court halts eviction of former Makerere director,The Observer
"However, the contract with the railway project contractor, Sogea Satom, was terminated.",contract_management_failure,0.6019608521306068,2024-02-07,https://observer.ug/news/tororo-gulu-railway-line-incurs-financial-losses/,Tororo-Gulu railway line incurs financial losses,The Observer
"GENESIS: On August 19, 2020, UNRA controversially terminated AECO’s contract as the project supervising engineers and replaced them with PROME Consultants Ltd.",contract_management_failure,0.601121922714532,2021-10-19,https://observer.ug/news/controversy-blights-masindi-buliisa-oil-road/,Controversy blights Masindi-Buliisa oil road,The Observer
It was always a shock in some circles when his five-year contract was always renewed.,contract_management_failure,0.6010945871428951,2022-01-26,https://observer.ug/business/prof-mutebile-defended-markets-at-all-costs/,Prof Mutebile defended markets at all costs,The Observer
"The committee established that on June 22, 2017, the union engaged the services of M/S Ilukor Advocates & Solicitors under a contract and retainership agreement for a period of three years.",contract_management_failure,0.5998484867565557,2024-07-17,https://observer.ug/news/lawyers-probed-over-billions-for-cooperative-compensation-2/,Lawyers probed over billions for cooperative compensation,The Observer
"The minister was reacting to a story narrated by the project manager, Lawrence Pario, whereby a steel manufacturing company which he refused to disclose lodged a complaint with the president after being denied a deal to supply steel towards the bridge construction.",contract_management_failure,0.5997885906421048,2017-08-03,https://observer.ug/news/jinja-bridge-40-percent-complete/,Jinja bridge 40 percent complete,The Observer
"In April, the High court ruled that the termination of Obore’s contract should be halted until the main petition is disposed of.",contract_management_failure,0.5997099953662098,2019-09-21,https://observer.ug/news/parliament-s-chris-obore-sent-on-forced-leave-ordered-not-to-return/,"Parliament’s Obore sent on forced leave, ordered not to return",The Observer
"However, reports indicate that the company may consider appealing this decision or seeking international arbitration.",contract_management_failure,0.5994515536597087,2025-03-31,https://observer.ug/business/umeme-shares-trading-suspended-for-two-weeks-over-transition/,Umeme shares trading suspended for two weeks over transition,The Observer
"“We are handling very complex contract-related issues, so we wanted our staff to acquire skills for efficient handling.",contract_management_failure,0.5993640020896528,2018-09-15,https://observer.ug/business/egypt-trains-uegcl-staff-in-contract-management/,Egypt trains UEGCL staff in contract management,The Observer
"The former head of Infrastructural Development at the ministry of Health, Dr John Tumwesigye, has dragged the ministry’s permanent secretary, Dr Diana Atwine, to the High court over the “illegal” termination of his contract.",contract_management_failure,0.5992960858356645,2017-05-03,https://observer.ug/news/ps-atwine-sued-over-contract/,PS Atwine sued over contract,The Observer
"In the circumstances, government was left with no choice but to make use of its discretionary powers not to extend their contract.",contract_management_failure,0.5991974765316976,2017-09-15,https://observer.ug/viewpoint/why-govt-did-not-renew-isimba-consultant-engineer-s-contract/,Why govt did not renew Isimba consultant engineer’s contract,The Observer
"However, Azuba reminded the House that there would be legal and financial implications if the contract was revoked without notice.",contract_management_failure,0.5986187885268215,2017-06-30,https://observer.ug/news/kadaga-orders-probe-into-sgs-contract-award/,Kadaga orders probe into SGS contract award,The Observer
"It so happens that in most cases when the ‘Ugandan subsidiary of the holding company’ finds itself in a contract breach, the indigenous subcontractor finds it hard to recover funds since the subsidiary has no known assets in Uganda.",contract_management_failure,0.5984868274481255,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
The doctrine of separability proposes that the validity or existence of the contract will not affect the arbitration agreement and the identities of the contract.,contract_management_failure,0.5976976999128396,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"Therefore, the court’s task was to determine whether the parties had a valid and enforceable arbitration agreement.",contract_management_failure,0.5974939573642042,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
Section 40(2)(a) of the Employment Act 2006 releases an employer from the obligation to provide work and wages where the employment contract has been frustrated.,contract_management_failure,0.5974342654731506,2020-06-03,https://observer.ug/viewpoint/ministry-directive-on-wages-in-private-schools-is-illegal/,Ministry directive on wages in private schools is illegal,The Observer
"On the other hand, in the ministry’s notice of intention to terminate the contract dated September 12, 2024, it confirms that only the fourth Interim Payment Certificate (IPC) issued on May 30, 2024 was pending as a result of the court order.",contract_management_failure,0.5973738604365555,2024-12-04,https://observer.ug/news/stalled-world-bank-project-puts-contractor-on-the-spot/,Stalled World Bank project puts contractor on the spot,The Observer
"Oral contracts are just as valid and enforceable as written agreements, provided they meet the basic elements of a valid contract, the High court has ruled.",contract_management_failure,0.5972904401086303,2025-10-07,https://observer.ug/news/oral-contracts-are-legally-binding-high-court-rules/,"Oral contracts are legally binding, High court rules",The Observer
"As a consequence, the mentioned agreement between SN Power and SGBH is now terminated,” the company announced in January.",contract_management_failure,0.5970390359087032,2017-02-15,https://observer.ug/business/cabinet-to-meet-over-bujagali-dam-outstanding-loan-now-at-478m/,"Cabinet to meet over Bujagali dam, outstanding loan now at $478m",The Observer
"AECO won the contracts to supervise engineering designs and building works for both road projects but has since fallen out with UNRA, the implementing agency, over alleged breach of contract and corruption.",contract_management_failure,0.5967205668807004,2021-11-03,https://observer.ug/news/museveni-sucked-into-unra-kuwait-firm-row/,"Museveni sucked into UNRA, Kuwait firm row",The Observer
Kadaga reportedly told the commission that she cannot support the termination of anyone’s contract unless Aol is willing to buy out the running contracts.,contract_management_failure,0.5966438226440939,2019-01-16,https://observer.ug/news/fdc-locked-in-fight-for-parliamentary-jobs/,FDC locked in fight for parliamentary jobs,The Observer
"Plinth had convinced court that whereas it had executed all works on site from commencement until October 30, 2023 when Inyatsi terminated the subcontract agreement, the two sides were yet to reach an amicable settlement.",contract_management_failure,0.5959026940811202,2024-12-04,https://observer.ug/news/stalled-world-bank-project-puts-contractor-on-the-spot/,Stalled World Bank project puts contractor on the spot,The Observer
"A contract between the government of Uganda and private electricity distributor, Umeme, ended as stipulated in their agreement signed more than 20 years ago.",contract_management_failure,0.5957656754578349,2025-04-02,https://observer.ug/viewpoint/world-of-opportunity-awaits-uedcl-as-they-take-over-power-distribution/,World of opportunity awaits UEDCL as they take over power distribution,The Observer
"The three oil companies prefer to settle disputes at the International Centre for Settlement of Investment Disputes (ICSID), which is located in Washington, USA, while the Uganda government wants London Court of International Arbitration.",contract_management_failure,0.5956817833679732,2018-12-04,https://observer.ug/business/govt-crude-oil-firms-differ-on-registration-of-pipeline-company/,"Govt, crude oil firms differ on registration of pipeline company",The Observer
"In the termination letter, UNRA stated that AECO failed to mobilize staff, make monthly reports and refused to approve the contractor (CCCC)’s submissions and instructions in time, among others.",contract_management_failure,0.5952174928242249,2021-10-19,https://observer.ug/news/controversy-blights-masindi-buliisa-oil-road/,Controversy blights Masindi-Buliisa oil road,The Observer
"In the termination letter, UNRA stated that AECO failed to mobilize staff, make monthly reports and refused to approve the contractor (CCCC)’s submissions and instructions in time, among others.",contract_management_failure,0.5952174928242249,2021-11-03,https://observer.ug/news/museveni-sucked-into-unra-kuwait-firm-row/,"Museveni sucked into UNRA, Kuwait firm row",The Observer
Buzeki’s committee largely found Nyanzi culpable of insubordination and failure to honour her employment contract.,contract_management_failure,0.5945570612854312,2017-10-05,https://observer.ug/news/fresh-row-at-misr-prof-mamdani-accused-of-mismanagement/,Fresh row at MISR: Prof Mamdani accused of mismanagement,The Observer
"During the hearing, the matter proceeded ex parte since the respondents were served and failed to make an appearance.",contract_management_failure,0.5939428398681621,2024-02-03,https://observer.ug/news/whatsapp-messages-can-constitute-a-binding-contract-high-court-rules/,"WhatsApp messages can constitute a binding contract, High court rules",The Observer
"In October 2023, Inyatsi terminated Plinth’s subcontract, leading Plinth to threaten a lawsuit.",contract_management_failure,0.5932459963068838,2025-11-12,https://observer.ug/news/how-bungled-shs-86bn-project-caused-sacking-of-eswatini-consul-to-uganda/,How bungled Shs 86bn project caused sacking of Eswatini consul to Uganda,The Observer
"However, the effectiveness of these measures depends on contextual factors such as the availability of an international arbitration mechanism.",contract_management_failure,0.5931912568686742,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
"And without any breakthrough, AECO officials went ahead and filed their claim to the arbitration panel on October 25 after five days of back-and-forth movement.",contract_management_failure,0.5931806235939898,2021-11-03,https://observer.ug/news/museveni-sucked-into-unra-kuwait-firm-row/,"Museveni sucked into UNRA, Kuwait firm row",The Observer
"He, however, said every contract the government signs with an investor is terminable.",contract_management_failure,0.5930356559551421,2022-04-26,https://observer.ug/news/mps-find-fake-engineers-at-lubowa-hospital/,MPs find fake engineers at Lubowa hospital,The Observer
"She called on the government to sort out the issue of the owners’ engineer, Francis Wakabi whose contract has expired but was still in office.",contract_management_failure,0.5922341190908329,2019-08-01,https://observer.ug/news/govt-sides-with-finasi-in-lubowa-hospital-saga/,Gov’t sides with Finasi over ROKO in Lubowa hospital saga,The Observer
This ruling establishes the principle of arbitration against non-signatories to the arbitration agreement.,contract_management_failure,0.5918883168737941,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"DOCTRINES In laying down important points on different doctrines in arbitration, the judge noted that a court cannot intervene in a matter which is being arbitrated by the parties before the ICC.",contract_management_failure,0.5917045263773087,2024-09-04,https://observer.ug/news/why-court-withheld-shs-21-billion-pay-to-eswatini-contractor/,Why court withheld Shs 21 billion pay to Eswatini contractor,The Observer
"Moreover, expert determinations can be faster and less expensive than arbitration.",contract_management_failure,0.5908200478025522,2023-04-27,https://observer.ug/business/protecting-investments-through-project-agreements-key-contractual-provisions-to-consider/,Protecting investments through project agreements: Key contractual provisions to consider,The Observer
"It also indicates, in case of arbitration, we go to China.",contract_management_failure,0.5907939730348079,2021-11-29,https://observer.ug/news/govt-dismisses-reports-that-uganda-could-lose-entebbe-airport-to-china/,Govt dismisses reports that Uganda could ‘lose’ Entebbe airport to China,The Observer
They claimed that they legally owned the songs because they had a running contract with him.,contract_management_failure,0.5900089174519966,2025-04-09,https://observer.ug/news/artiste-bruno-k-awarded-she-130m-for-copyright-infringement/,Artiste Bruno K awarded Shs 130m for copyright infringement,The Observer
"Plinth filed a request arbitrate with the International Chamber of Commerce (ICC) in May, 2024 challenging the unlawful termination with a claim of Shs 22bn.",contract_management_failure,0.589777583719529,2024-12-04,https://observer.ug/news/stalled-world-bank-project-puts-contractor-on-the-spot/,Stalled World Bank project puts contractor on the spot,The Observer
"We shall terminate the contract and get another person to complete the work which is remaining,” added Byamukama.",contract_management_failure,0.5896924095517247,2023-02-21,https://observer.ug/news/construction-works-at-kabaale-airport-halted-over-funds/,Construction works at Kabaale airport halted over funds,The Observer
Kiggundu clarified that EIPL’s contract had not been terminated but government only chose not to renew it.,contract_management_failure,0.5895821334422742,2017-09-08,https://observer.ug/business/indian-firm-demands-pay-before-exiting-isimba-dam/,Indian firm demands pay before exiting Isimba dam,The Observer
