sample_id,source,publication_date,title,sentence,coder1_label,coder2_label,adjudicated_label,adjudicator_notes
OBS_GS_011031,The Observer,2021-05-02,"Lubowa hospital developer blames rain, COVID-19 for construction delays","In terms of work progress, the work is late by 11.4 per cent, which stands at Shs 102 billion not yet paid to the contractor because work has not yet been done.",,,,
OBS_GS_008452,The Observer,2017-08-11,Chinese construction firm petitions parliament over Shs 20bn deal,"On June 29, CRBC wrote to President Museveni, saying: “As investors we have executed work legitimately in the national interest, we should not suffer inconvenience of having to fight with speculators who want to take advantage of the court process as they have nothing to lose.” amwesigwa@observer.ug",,,,
OBS_GS_016139,The Observer,2024-10-30,How Frank Rusa is planning to revamp KCCA reputation,The leadership will appropriately review various proposals solicited through an open tender process.,,,,
OBS_GS_005188,The Observer,2017-06-26,Uganda fights to stop damning money laundering indictment,"FATF is a policy-making body that sets standards and promotes effective implementation of legal, regulatory and operational measures for combating money laundering, terrorist financing and other related threats to the integrity of the international financial system, Uganda has long taken issue with FATF’s assessment of its financial system.",,,,
OBS_GS_006410,The Observer,2022-12-19,Two arrested in Mukono with stolen electricity transmission items,He notes that these operations will continue until the electricity infrastructure is no longer vandalized.,,,,
OBS_GS_005622,The Observer,2022-04-26,MPs ask gov’t to release Shs 440bn for Entebbe airport expansion,"Karubanga asked UCAA to submit the project designs, contract, bid documents, interim payment certificates, and other documents related to the first phase.",,,,
OBS_GS_011581,The Observer,2017-03-22,UEGCL doubts Karuma dam will operate at full capacity,"But you cannot just ignore us,” he complained.",,,,
OBS_GS_014304,The Observer,2021-04-11,"Uganda, Tanzania sign agreement to start construction of $3.5bn oil pipeline","“Uganda discovered oil and gas in 2006, it has taken these 15 years before the first oil on account of the divergent perceptions between us and the oil companies.",,,,
OBS_GS_010540,The Observer,2017-01-04,Construction surges while economy falls,Bank of Uganda said such construction had been made on speculative basis and had had one of the highest defaulters.,,,,
OBS_GS_016049,The Observer,2017-05-08,"Karuma, Isimba dam audits in limbo over lack of funds","The director for audit, in charge of forensic investigations and IT audits, James Bantu, says the audit will look at the quality of the infrastructure currently in place; the construction items that have been used; test the strength of what has been put out there and make a conclusive report.",,,,
OBS_GS_009181,The Observer,2022-10-21,Shs 5bn rehabilitation center for migrant workers in offing,"Last year, the ministry of Gender suspended the operations of 11 companies in line with Regulation 13 of The Employment (Recruitment of Uganda Migrant Workers) Regulations 2021.",,,,
OBS_GS_015478,The Observer,2019-04-04,Kisanja Hakuna Mchezo: Here is the Works and Transport success so far,"In addition to those whose quality of life has changed as a result of compensations being awarded to project-affected persons, there are others who are directly employed during the roads’ construction period through the supply of essential services to workers, etc.",,,,
OBS_GS_005975,The Observer,2021-06-16,COVID-19: Mbale hospital oxygen plant breaks down,Those are not now enough for our needs as a hospital and yet we supply even the other lower units in the region.,,,,
OBS_GS_002364,The Observer,2022-03-28,UPDF starts works on Oulanyah’s unfinished village mansion,Oulanyah’s body still remains in the US and awaits transportation back into the country.,,,,
OBS_GS_007712,The Observer,2024-08-23,German class project turns into dream for Ugandan students,"In the past, during examinations, I would only look out for the key points without realizing what the question really requires, but since I joined the mentorship, I now think about the question before I write down the answers.” She asserts that the program has significantly improved her mathematics grades, but more importantly, she has acquired the soft skills of confidence, communication, teamwork and collaboration.",,,,
OBS_GS_016020,The Observer,2019-08-06,"Minister, MPs denied access to Lubowa hospital construction site","Even if we know that there are disagreements, those agreements have not affected the execution of works as per the agreement.",,,,
OBS_GS_001080,The Observer,2017-01-04,"Ssemujju: Will roads, dams grow Uganda?","The journey turned into a nightmare at Bole International airport, Ethiopia.",,,,
OBS_GS_003549,The Observer,2017-05-03,UNRA on spot over Chinese contracts,"Unra says it rejected all the companies that bid for the contract, citing section 75 of the PPDA Act.",,,,
OBS_GS_006951,The Observer,2017-03-27,Ugandans win Johnson & Johnson Africa award,The project will also create jobs for young women by training them to sell the products throughout Liberia.,,,,
OBS_GS_002590,The Observer,2016-12-30,MPs expose rot in roads authority,PROCUREMENT The report also recommended that any contract that does not follow the proper established procurement laws and processes ends up with challenges.,,,,
OBS_GS_016816,The Observer,2021-10-08,Airport expansion: Civil Aviation Authority ordered to recover Shs 2.1bn overpayment,"The authority has also for the third time failed to explain the Shs 6 billion variation in architectural designs for the expansion of the airport, also worked on by Seyani brothers.",,,,
OBS_GS_023121,The Observer,2017-09-29,"Marriage to Chinese paved way for eviction of 1,400 in Mubende",This makes me wonder how much of your husband you really know… Kyohaire: I really know him.,,,,
OBS_GS_007925,The Observer,2024-12-04,Stalled World Bank project puts contractor on the spot,"Plinth filed a request arbitrate with the International Chamber of Commerce (ICC) in May, 2024 challenging the unlawful termination with a claim of Shs 22bn.",,,,
OBS_GS_013470,The Observer,2021-12-20,Dott fails to beat 2-month deadline to rehabilitate Mbale city roads,"Abdallah Magambo, Mbale city deputy speaker and LC V councillor Northern Division West, says that he has raised complaints about the insecurity in town resulting from the heavy traffic and urged the concerned authorities to expedite the rehabilitation works in vain.",,,,
OBS_GS_019293,The Observer,2017-03-17,Mulindwa shares vision and what it takes to erect a stadium,"Clearly, your model works.",,,,
OBS_GS_005658,The Observer,2017-05-30,"Hospital holds mother, twins for 5 months over unpaid bill",Akullu adds that the facility subsequently sought her relatives and advised them to commit to a payment plan but they failed to adhere to the advice.,,,,
OBS_GS_002600,The Observer,2016-12-30,MPs expose rot in roads authority,"According to the report, the firms were to open up independent imprest accounts as per the contract, which was supposed to be monitored and transactions be authorized by Unra, which they did not do for payments to the Paps.",,,,
OBS_GS_004513,The Observer,2025-02-03,Prisons waiting for Attorney General instructions to release Besigye,"He explained that the Attorney General, who had appealed the case, would then call stakeholders to sit down and discuss the implementation of the Supreme court orders.",,,,
OBS_GS_005688,The Observer,2020-07-29,Court decision on salary loans could rattle financial market,"This is in line with the principle of restutio in integrum, which seeks to restore a person to a position they would have been in had the breach, in this case unfair termination, not happened.",,,,
OBS_GS_017231,The Observer,2021-11-08,Govt ends Shs 11bn contract with Roko to construct hotel training institute,"He says that although the outer structure is 80 per cent complete, the plumbing works, electrical installations and internal partitions are not yet complete, despite continuous contract extensions.",,,,
OBS_GS_006561,The Observer,2024-12-22,"AU Agric Summit: Entebbe airport ready for arrival of 1,000 dignitaries","“It is an opportunity for the country to guide and shape continental policies and strategies in the agricultural sector and related sectors for the next 10 years,” Tumwebaze said.",,,,
OBS_GS_004784,The Observer,2017-08-30,National theatre renovations start as artistes pray it finally works well,Musiitwa said the lighting system was down and it is presently one of the priorities.,,,,
OBS_GS_014775,The Observer,2020-07-07,Whoever is pushing for opposition unity actually works for incumbent,"To this end, they would cry blood and tears to have an election happen.",,,,
OBS_GS_004882,The Observer,2019-10-09,LDC pre-entry exam ban won’t affect quality,We have requested for a supplementary budget of about Shs 5bn which we expect to get.” He hopes to bridge the funding gap for extra revenue which will be brought in by the additional students.,,,,
OBS_GS_004533,The Observer,2025-04-09,"Ofwono wrong on Mao’s efforts to resolve ULS, judiciary dispute","Really, there is no basis in law for mediation?",,,,
OBS_GS_022406,The Observer,2023-12-11,Oil pipeline: TotalEnergies forcing communities to accept ‘low’ compensation,TotalEnergies has denied allegations they have intimidated anyone affected by the project.,,,,
OBS_GS_006791,The Observer,2018-06-27,Land Probe blocks Shs 600bn Isimba rock compensation bonanza,"“The Commission has detected possible collusion between claimants and public officers in government offices such as the office of the chief government valuer, department of Geological Surveys in ministry of Energy and now perhaps, ministry of Finance,” reads the letter.",,,,
OBS_GS_015056,The Observer,2025-04-17,Misfiring KCCA: Who is to blame?,"Predictably, the club moved fast and terminated his three-year contract in just four months.",,,,
OBS_GS_005439,The Observer,2018-03-27,"We’re simply teaching robots, Bridge Schools teachers admit",What the teachers told URN correlates with the September 2016 study by Curtis Riep and Mark Machacek on the operation of Bridge Schools in Uganda.,,,,
OBS_GS_014605,The Observer,2022-05-03,"Govt proposes tax exemption on medical oxygen, hospital construction","Musasizi also explains that the proposed law also seeks to remove the condition of a hospital at the level of a national referral to only benefit from VAT exemption on the supply of services to conduct a feasibility study, design and construction, the supply of locally produced materials for the construction of premises and other infrastructure, machinery and equipment or furnishings and fitting to a hospital facility developer.",,,,
OBS_GS_003558,The Observer,2022-03-01,Mulago hospital executive director arrested over mismanagement,"“We are querying mismanagement of resources, medicines and equipment at the hospital.",,,,
OBS_GS_016494,The Observer,2021-07-09,Electricity: the story behind power tariffs,"However, that erratic movement of the tariff stabilized thereafter when the Bujagali project was commissioned.",,,,
OBS_GS_023142,The Observer,2021-12-08,Uganda’s nuclear power plant plans given nod of approval,"Speaking at the closure of the review on Monday at Speke Resort Munyonyo, Batube revealed that electricity generation potential from renewable and fossil fuels cannot meet the Vision 2040 development targets, prompting the need for nuclear power in the future energy mixes.",,,,
OBS_GS_007800,The Observer,2017-07-19,Uganda Road Fund calls for more funding,"Eng Dr Michael Odongo, the URF executive director, revealed that the poor records were hinged on a fact that most roads were narrow, had potholes, poor drainage systems and were inadequately maintained.",,,,
OBS_GS_020297,The Observer,2024-05-14,Uganda’s Dred Scott v Sandford: Unpacking the real constitutional damage wrought by the decision in Fox Odoi and Others v Attorney General,"The majority decision was rendered by Chief Justice Roger Brooke Taney, who noted that: ‘We think [that persons of African descent] … are not included, and were not intended to be included, under the word “citizens” in the Constitution, and can therefore claim none of the rights and privileges which that instrument provides for and secures to citizens of the United States.",,,,
OBS_GS_009758,The Observer,2023-04-27,Protecting investments through project agreements: Key contractual provisions to consider,This may be preferable to resolving the matter through arbitrators who lack such expertise.,,,,
OBS_GS_002975,The Observer,2023-10-04,Kaliro district loses Shs 10 billion in 7-year fraud,Mutebi has further revealed that the Auditor General is currently conducting a forensic audit of the financial transactions in Kaliro district in hopes of identifying the loopholes responsible for the mismanagement of public funds.,,,,
OBS_GS_002512,The Observer,2020-01-03,Kitaka’s 2020 master plan for Kampala infrastructure,"My contract ends in October and if there is one thing I’m passionately dying to change before its expiry, it is the infrastructure and transport network of the city.",,,,
OBS_GS_000678,The Observer,2022-10-15,Court stays Shs 450m Daily Monitor defamation compensation to Bigirimana,"Some of the articles bore titles such as, “Auditors target Bigirimana in cash probe”; “Bigirimana’s wife acquires Shs 250m Mercedes Benz”; “Treasury Officials accuse OPM PS of covering money scam”; “MPs order government to remove Bigirimana”; “Denmark Warns of Aid Cut over OPM Scandal”; and “Corruption Ledger” among others.",,,,
OBS_GS_005447,The Observer,2018-03-27,"We’re simply teaching robots, Bridge Schools teachers admit","By linking up community members with tablet computers containing scripted instruction, Bridge argues that “we are giving our pupils access to the types of teachers they would never be able to afford.” Curtis Riep and Mark Machacek observed that since all aspects of instruction and pedagogy are controlled and automated through the use of teacher-computers, Bridge assumes it does not require professionally-trained or certified teachers.",,,,
OBS_GS_019966,The Observer,2021-08-04,"MPs: After lockdown, hospitals still messy","“So, the ministry has been really weak, lackadaisical, lazy, laissez-faire in procurement and distribution of vaccines, which should have helped to cut back on infections as well as ensure that the population is safe and is participating in the building of the economy…,” Lulume said.",,,,
OBS_GS_007996,The Observer,2023-03-08,No loss of taxpayers’ money in Entebbe airport expansion works,"For starters, there isn’t any loss or failed project as may have been insinuated in this article, which quotes an unnamed report.",,,,
OBS_GS_006198,The Observer,2023-01-01,Is new Pokhara airport on China’s BRI radar?,"The responsibility of improving this airport has been given to a Chinese company and the cost will be borne by the Nepal government.” In bilateral documentation, none of these projects has gotten grants or loans earmarked BRI, finance ministry officials said.",,,,
OBS_GS_020402,The Observer,2020-01-01,Basalirwa vows to fight parliament eviction,I can’t predict what the speaker will do but I know she will be guided by the law.,,,,
OBS_GS_023394,The Observer,2024-03-13,Two years of fights and corruption,"Under the parliament exhibition, a hashtag promoted by social media activists, the country has witnessed grave allegations of corruption, bribery, and mismanagement of resources within parliament.",,,,
OBS_GS_001681,The Observer,2024-11-06,‘Make sure those Baganda…’: Ethnicity and Project Uganda,"Our politics – and our judicial system – must enquire into numbers, not to suppress and silence persons and groups, but to give voice to them within our fragile and really nascent multi-ethnic democracy.",,,,
OBS_GS_007976,The Observer,2018-07-20,Kagina: All contracts below Shs 45bn reserved for locals,"Some of the roads we are doing now are greenfield with new alignment such as oil roads, Kampala-Jinja Expressway, Entebbe Expressway and other roads which are murram, we shall upgrade them.",,,,
OBS_GS_019551,The Observer,2022-08-16,#StopEACOP: the pointless pipeline,"Before anything else, Uganda is deformed with a culture of corruption, bad governance; and a general lack of accountability.",,,,
OBS_GS_016127,The Observer,2019-03-20,Lubowa hospital: a chicken and egg myth!,"It appears emphasis here is mainly placed on infrastructure, and not honing of specialized skills.",,,,
OBS_GS_008581,The Observer,2025-04-28,‘Shoddy’ Shs 2 trillion Isimba dam could be washed away soon – experts,"These include gaps within the slab, we have concrete erosion within the bottom slab.",,,,
OBS_GS_011700,The Observer,2022-02-21,Govt terminates contract of Uganda Airlines CEO,“We have concluded the case against most of the suspended officials administratively.,,,,
OBS_GS_005801,The Observer,2017-05-12,My mother abandoned me in childhood,One man took me to spend the night at a police station.,,,,
OBS_GS_022968,The Observer,2017-09-29,"Marriage to Chinese paved way for eviction of 1,400 in Mubende",Byenkya: Do you have an explanation why in one agreement he needs an attorney and in another he doesn’t?,,,,
OBS_GS_016232,The Observer,2025-08-20,Decent housing: How govt abandoned its social contract,"This shift sparked an affordability crisis as once-subsidised units became inaccessible to most Ugandans, and land disputes intensified, as seen in the Nakawa evictions.",,,,
OBS_GS_003056,The Observer,2018-04-20,UNBS: Half of goods on market are inferior,"By now, the numbers must have increased to about 20 million because the programme has helped in continuously detecting substandard imports.",,,,
OBS_GS_011937,The Observer,2021-03-21,"Atwine admits to diverting health funds, flouting procurement rules","“In the response, we had to reallocate money although you know according to the law you’re diverting and you’re discharging.",,,,
OBS_GS_010478,The Observer,2024-07-17,Lawyers probed over billions for cooperative compensation,"As a result, the union was compelled to sign a consent agreement with the law firm, stipulating that the firm would retain 30% of the compensation paid by the government.",,,,
OBS_GS_012928,The Observer,2025-02-28,Power tariffs: Will Umeme’s exit usher in cheaper power?,"For the first 10 years, the Karuma plant has a locked-in tariff of US cents 4.57.",,,,
OBS_GS_010477,The Observer,2024-07-17,Lawyers probed over billions for cooperative compensation,"The chairperson of the Union, Allen Aceng, informed the parliamentary committee that she had objected to this recommendation, but the law firm instituted a suit against the union for non-compliance.",,,,
OBS_GS_006493,The Observer,2025-07-16,"“Justice delayed, drama delivered: Inside Uganda’s week in court”",The company had argued the non-existence of its own employer entity to cancel the contract.,,,,
OBS_GS_014533,The Observer,2017-04-26,Survival is for the fittest preemies at Gulu hospital,"“I pray to God that my babies get well…I can’t take this anymore, now that their father even abandoned them,” Piloya says.",,,,
OBS_GS_001764,The Observer,2017-06-19,Owana survives UBC sack but has powers reduced,"On April 17, Owana wrote a stinging article in The Observer, titled, NRM will close down UBC, unless… in which he claimed there was mismanagement at UBC.",,,,
OBS_GS_012037,The Observer,2019-12-18,Social cohesion: Recognizing migration is a benefit that works for all,"Migrants can also become — often surprising — champions of resilience when times are tough, when a community experiences unexpected shocks, including environmental change and disaster, unemployment, and political turmoil.",,,,
OBS_GS_010763,The Observer,2021-06-16,Construction of She 1.2bn warehouse in Busia nears completion,"Anthony Kawoya, the site engineer from BAM Construction Company limited, says the construction work stands at 90 per cent.",,,,
OBS_GS_004277,The Observer,2021-09-12,New pipeline law may plug double taxation loopholes,The EACOP bill overrides any other act when it comes to the pipeline project.,,,,
OBS_GS_007793,The Observer,2021-05-04,Malawi citizen-funded COVID-19 initiative awarded for transparency,"The initiative also brought food to health workers, fixed ambulances and repaired some damaged infrastructure inside hospitals.",,,,
OBS_GS_017771,The Observer,2024-05-10,UPDF takes over construction of Gulu University Constituent College in Moroto,"Lt Elias Turinomuhangi, NEC project coordinator while receiving the site for construction promised to deliver quality work and complete the project as planned in two years.",,,,
OBS_GS_024163,The Observer,2024-05-30,Mbarara city closes damaged Katete bridge,"Mwine Paka, Mbarara city South MP said that the bills of quantities (BoQ), bridge designs, and a budget of Shs 6.9 billion have been submitted to both ministries of Finance and Works.",,,,
OBS_GS_021916,The Observer,2018-10-24,"Meet Luyimbazi, the brains behind the new Nile bridge",What further complicated this is that management of the dam and the bridge was in different hands.,,,,
OBS_GS_009103,The Observer,2021-08-30,Unra directors accused of collusion to stall Shs 400bn Muyembe road project,“The contractor imported old used prefabs for campsite construction and the consultant/engineer refused to approve it but Aleper told the engineer to go ahead and approve it and if it broke down after the construction the contractor will have to redo the work but the question is that at whose expense?,,,,
OBS_GS_018138,The Observer,2023-06-06,Construction delay for G77 summit roads leaves Unra in a spot of bother,"Whereas Unra blames the contractor for the delays, sources say the contractor’s hands are tied because Unra is yet to pay them.",,,,
OBS_GS_006195,The Observer,2023-01-01,Is new Pokhara airport on China’s BRI radar?,"First, it is like Gautam Buddha Airport in Lumbini where ADB has invested and Chinese contractors have worked.",,,,
OBS_GS_003259,The Observer,2021-03-13,"AG pins UNRA, ministry of Works on Shs 23.6bn ‘useless’ expenditure",Muwanga notes that design review is a key component of construction supervision for which any delay affects the implementation of the projects leading to cost escalations.,,,,
OBS_GS_020422,The Observer,2019-08-25,"NRM, Mike Mukula fail to pay Namboole stadium Shs 1.1bn","The company will now instruct legal redress for any breach of contract,” further reads the document.",,,,
OBS_GS_012991,The Observer,2022-01-18,How Amos Nyombi Is Transforming Financial Oversight in Grant-Funded Organizations Through Intelligent Project Finance Systems,The change from reactive financial reporting to proactive financial oversight is one of Nyombi’s most notable achievements.,,,,
OBS_GS_017058,The Observer,2023-02-17,KCCA boss Kisaka fingered in Shs 1 trillion city roads deal,"We want quality services, we want to have quality roads we’re pushing for value for money for audit, monitoring what they are doing to ensure that each party honours the obligations and commitment within the contract.",,,,
OBS_GS_010825,The Observer,2024-03-20,KCCA committee recommends radical changes in accountability,“Another significant finding was the undocumented change of the contractor; it seems the contract was awarded to a middleman without the prerequisite equipment and capacity hence resorting to subcontracting of the works to unverified contractors.,,,,
OBS_GS_000488,The Observer,2020-09-11,Makerere University funds 120 research projects on Covid-19,The project was titled ‘Communicating Covid-19-related messages in multilingual contexts’.,,,,
OBS_GS_014542,The Observer,2017-10-02,"Parliament, police count the cost of September 27 violence",There is ongoing procurement for a new public address system for the chambers which has been in the works since last year.,,,,
OBS_GS_000699,The Observer,2019-10-18,Infrastructure forum set for late October,"“The Innovation Series provides a perfect platform to showcase and discuss new and cost-effective ways of delivering infrastructure in Uganda,” Wafula explained.",,,,
OBS_GS_005268,The Observer,2018-03-24,Oil palm project to be extended to other districts,"Under the umbrella of the Vegetable Oil Development Project (VODP), promotion of oil palm production has been seen as a strategic effort to address high poverty rates and reduce Uganda’s dependency on oil imports by increasing domestic production.",,,,
OBS_GS_012218,The Observer,2025-05-13,Govt signs contracts for 800km road project in northern Uganda,"Markets slated for rehabilitation and improvement include Amach, Minakulu, Katine, Pader town council, Aswa, Dokolo, Loro, Dakabela, Abone, Arum, Oliga, Padibe, Oriamo, and Kidetok Mulago.",,,,
OBS_GS_003048,The Observer,2022-07-28,Museveni gives away 15 acres of ministry of agriculture land for Turkish hospital,"The government has so far injected Shs 667 billion into the project, which was expected to reduce the number of Ugandans seeking treatment abroad.",,,,
OBS_GS_010390,The Observer,2025-08-07,"Built today, broken tomorrow: The sustainability paradox of rural water projects","In 1994, USAID defined a sustainable rural water system as one that continues delivering water long after the project ends, even in the absence of donors or implementing agencies.",,,,
OBS_GS_006793,The Observer,2018-06-27,Land Probe blocks Shs 600bn Isimba rock compensation bonanza,"She, therefore, directed the Finance Ministry to withhold payment until the commission concludes its investigations into the matter and makes final recommendations.",,,,
OBS_GS_000793,The Observer,2021-11-10,Skilling project empowers slum women in designing,"“We changed people’s lives using fashion and we made a positive impact without giving money, I don’t think giving money is a solution because it can be finished in no time.” Indeed, whereas the project aims to impart skills on the members, some of the designs have gone on to be showcased at the highest level in Uganda and earn the women much-needed financial push.",,,,
OBS_GS_010106,The Observer,2021-11-02,"Drainage: Govt, KCCA infringing on right to life, court rules",KCCA has a Shs 700 billion master plan that is yet to be funded to expand and improve the drainage system in Kampala.,,,,
OBS_GS_018609,The Observer,2017-09-15,Why govt did not renew Isimba consultant engineer’s contract,"History will judge us harshly if we, as the project steering committee or as the ministry of Energy or UEGCL and others, looked on while specifications were altered at a whim, works went shoddy with reckless abandon, and timelines negated without restraint.",,,,
OBS_GS_003662,The Observer,2020-09-20,"Full speech: Museveni reopens airport, schools for candidates","Right from the beginning, I had no doubt as to the right course of action.",,,,
OBS_GS_006879,The Observer,2018-01-04,We don’t need electricity; give us what we need instead,"The East African newspaper has reported that whatever Bujagali Power asked for, including extending their contract period, the government agreed to it.",,,,
OBS_GS_018902,The Observer,2016-12-07,Land for oil waste plant given illegally – minister,"“To this end, therefore, on top of the irregularities that were involved in acquiring the above land title, the title was equally defective and has to be reviewed by the registrar of lands, first to change it to leasehold, but also open boundaries to ascertain the actual size of Tibagwa’s land,” Amongi said.",,,,
OBS_GS_008632,The Observer,2025-04-28,‘Shoddy’ Shs 2 trillion Isimba dam could be washed away soon – experts,Maybe the problem was supervision who slept on the job supervising the contractor?”,,,,
OBS_GS_011423,The Observer,2019-03-26,"Wind blows off school, home roofs in Ntungamo",Arigye urged schools in the area to ensure that they plant more trees around their premises to avoid incidents of this nature.,,,,
OBS_GS_016762,The Observer,2021-05-09,Umeme shares plummet after Museveni remarks,Museveni in March 2018 wrote to then Energy minister Irene Muloni directly against renewing Umeme’s contract over what he termed as exploitation of consumers.,,,,
OBS_GS_002239,The Observer,2019-02-12,Kadaga’s Karamoja tree project dries up,They note that not much effort was put in the project after it was launched.,,,,
OBS_GS_000171,The Observer,2019-04-08,Closed old Jinja bridge safe for traffic diversions – Gen Katumba,"The old bridge survived without major repairs since it was established except in 2011, a process that continued to 2013 with tarmac and road surface being fixed.",,,,
OBS_GS_002558,The Observer,2025-08-01,Rethinking justice through Alternative Dispute Resolution,"Thirdly, ADR generally helps to resolve disputes quicker.",,,,
OBS_GS_010060,The Observer,2021-03-24,"Total not upfront about Tilenga, oil pipeline projects","Complaints of intimidation from Total’s sub-contractors and security agencies have been recorded especially in the Greater Masaka area, where the EACOP will pass.",,,,
OBS_GS_020143,The Observer,2017-02-20,Music Video awards mired in controversy,"This comes after Sheebah’s management took to social media to complain that although they were nominated, they never submitted any works.",,,,
OBS_GS_020225,The Observer,2017-08-19,Power surge: How to secure compensation from Umeme,ERA is the regulator of the electricity supply industry.,,,,
OBS_GS_013178,The Observer,2020-03-04,Minister: NRM works with DP top leaders,Masaka sub-region remains one of DP’s strongholds with seven out of the party’s 16 MPs in the 10th Parliament.,,,,
OBS_GS_011941,The Observer,2021-03-21,"Atwine admits to diverting health funds, flouting procurement rules","In light of the ongoing pandemic, Atwine says the Auditor General needs to take into account the circumstances under which some decisions were made.",,,,
